number of classes: pair to merge
454: ('CrFS6----------', 'PSFS6-P1-------')
453: ('PZXP6----------', 'Ca--6----------')
452: ('PSZS6FS3-------', 'PSZS6-P1-------')
451: ('AUFS6M---------', 'CrFS6----------')
450: ('P6-X6----------', 'P5FS6--3-------')
449: ('J^------------8', 'PP-P1--2-------')
448: ('PSYS1-P1-------', 'PZYS1----------')
447: ('P4XP3----------', 'PJXP1----------')
446: ('P5XP6--3-------', 'NNMP6-----A----')
445: ('PSHS1-P1-------', 'PSHS1-S1-------')
444: ('AGFS6-----A----', 'P8FS6---------1')
443: ('PZFS4----------', 'AUFS4M---------')
442: ('Cn-P6----------', 'PSXP6-P1-------')
441: ('ClFS6----------', 'PDFS6----------')
440: ('AAIP1----3A----', 'CrIP1----------')
439: ('AGIS7-----A----', 'ClNS1----------')
438: ('PDFS7----------', 'AGFS7-----A----')
437: ('PJYS1----------', 'PJNS1----------')
436: ('PJZS3----------', 'P4YP4----------')
435: ('PZIS4----------', 'ClIS4----------')
434: ('AUIS2M---------', 'AAIS2----1N----')
433: ('PZFS4----------', 'PWFS4----------')
432: ('AANS1----2A----', 'AANS1----1N----')
431: ('PSZS6FS3-------', 'CrNS6----------')
430: ('AAIS7----1N----', 'CrIS7----------')
429: ('AAFS4----2A----', 'P8FS4----------')
428: ('P5ZS3--3-------', 'PDFS3----------')
427: ('AAMS1----1N----', 'AUMS1M---------')
426: ('II-------------', 'AAIS1----1A---6')
425: ('PSXP2-P1-------', 'P4XP2----------')
424: ('AGFP1-----A----', 'PZFP1----------')
423: ('P5ZS7--3-------', 'P9ZS7----------')
422: ('P4FS1----------', 'PE--1----------')
421: ('VB-P---1F-AA---', 'VB-S---1P-NA--1')
420: ('AAIS6----1A----', 'AUIS6M---------')
419: ('AAIS1----2A----', 'Dg-------1A---1')
418: ('PDXP6----------', 'PZXP6----------')
417: ('CrFS2----------', 'AUFS2M---------')
416: ('PSMP1-P1-------', 'PZMP1----------')
415: ('PP-P7--1-------', 'P5XP7--3-------')
414: ('PSXP4-P1-------', 'PDMP4----------')
413: ('C?--4----------', 'J,-P---1-------')
412: ('P8YP4---------1', 'PZYP4----------')
411: ('AUFS6M---------', 'ClFS6----------')
410: ('PSZS1FS3-------', 'AUNS1M---------')
409: ('P8FP4---------1', 'PLFP4----------')
408: ('PSZS2-P1-------', 'PSZS2FS3-------')
407: ('PLFP1----------', 'AAFP1----3A----')
406: ('A2--------A----', 'J^------------8')
405: ('P9XP2----------', 'P5ZS2--3-------')
404: ('PWYS1----------', 'AUIS1M---------')
403: ('PDXP7----------', 'P6-X7----------')
402: ('ClZS2----------', 'ClZS3----------')
401: ('P5ZS4--3-------', 'P5XP4--3-------')
400: ('Cn-P7----------', 'P8XP7----------')
399: ('P5XP2--3-------', 'P6-X2----------')
398: ('Dg-------3A---1', 'Co-------------')
397: ('AAFS1----3A----', 'NNFS1-----A---1')
396: ('CrFS4----------', 'VB-P---2P-NA---')
395: ('AAMS4----1A----', 'ClMS4----------')
394: ('AGIP2-----A----', 'AANS2----1N----')
393: ('ClXP6----------', 'P8XP6----------')
392: ('PJZS3----------', 'P4NS4----------')
391: ('PZIS4----------', 'AGIS4-----A----')
390: ('AAIP1----3A----', 'AAIP1----1N----')
389: ('P8ZS2----------', 'PSZS2-S1-------')
388: ('NNMS6-----A---1', 'NNFP1-----N----')
387: ('AANP7----1A----', 'AGMS1-----A----')
386: ('AAMP2----1N----', 'PLFS1----------')
385: ('PPZS7--3-------', 'PPNS4--3-------')
384: ('CrIS1----------', 'PSYS1-P1-------')
383: ('Vf--------A---1', 'AAMP1----1N----')
382: ('VB-P---3P-NA--1', 'VB-P---3F-NA---')
381: ('P5ZS6--3-------', 'P6-X6----------')
380: ('PSFS2-P1-------', 'AGFS2-----A----')
379: ('II-------------', 'NNIS2-----A---1')
378: ('AAIS1----2A----', 'AAIS1----1N----')
377: ('P4ZS6----------', 'AGFS6-----A----')
376: ('NNFS5-----A----', 'AAMS6----1A----')
